game,console,loose_val,complete_val,new_val,date(D/M/Y)
Tony Hawk,nintendo-64,9.78,43.01,322.96,28/02/2024
1080 Snowboarding,nintendo-64,11.99,35.70,821.84,28/02/2024
Star Wars Episode I: Racer [Classic Edition],nintendo-64,37.47,59.99,31.00,28/02/2024
Goemon's Great Adventure,nintendo-64,94.00,323.35,022.15,28/02/2024
LodgeNet Controller,nintendo-64,95.00,304.00,950.00,28/02/2024
NASCAR 2000,nintendo-64,6.18,24.26,59.99,28/02/2024
Hey You Pikachu,nintendo-64,9.57,76.94,303.46,28/02/2024
Resident Evil 2 [USA-1],nintendo-64,43.00,157.50,N/A,28/02/2024
Spiderman,nintendo-64,26.00,105.00,400.55,28/02/2024
South Park,nintendo-64,20.99,81.00,262.47,28/02/2024
Bomberman 64,nintendo-64,19.99,56.19,258.15,28/02/2024
Chopper Attack,nintendo-64,10.97,39.50,150.00,28/02/2024
Cruis'n USA,nintendo-64,13.00,42.77,300.00,28/02/2024
Glover,nintendo-64,16.65,75.00,164.27,28/02/2024
Rayman 2 The Great Escape,nintendo-64,19.79,72.93,210.50,28/02/2024
Wii U Console Deluxe Black 32GB,wii-u,131.23,145.25,674.90,28/02/2024
Zelda Twilight Princess HD,wii-u,88.61,99.98,138.48,28/02/2024
Zelda Wind Waker HD,wii-u,46.00,51.83,80.94,28/02/2024
Super Smash Bros.,wii-u,10.00,10.20,29.85,28/02/2024
Mario Kart 8,wii-u,13.16,13.29,39.99,28/02/2024
Zelda Breath of the Wild,wii-u,19.99,22.61,49.50,28/02/2024
Devil's Third,wii-u,248.92,269.50,299.99,28/02/2024
Wii U Console Deluxe: Zelda Wind Waker Edition,wii-u,222.61,385.53,820.00,28/02/2024
Super Mario 3D World,wii-u,10.15,10.89,31.50,28/02/2024
Mario Party 10,wii-u,19.99,23.99,44.55,28/02/2024
Xenoblade Chronicles X,wii-u,41.00,44.61,67.10,28/02/2024
Nintendo Land,wii-u,9.95,10.08,19.95,28/02/2024
Game &amp; Wario,wii-u,83.40,89.99,171.49,28/02/2024
Super Mario Maker,wii-u,9.25,11.84,25.69,28/02/2024
Paper Mario Color Splash,wii-u,40.44,44.31,67.50,28/02/2024
Rodea the Sky Soldier Limited Edition,wii-u,68.56,79.95,114.91,28/02/2024
New Super Mario Bros. U,wii-u,15.29,16.45,39.99,28/02/2024
Kirby and the Rainbow Curse,wii-u,26.33,29.53,60.00,28/02/2024
Zelda Twilight Princess HD [amiibo Bundle],wii-u,114.47,143.83,155.08,28/02/2024
Splatoon,wii-u,10.14,11.40,31.09,28/02/2024
New Super Mario Bros. U + New Super Luigi U,wii-u,19.37,19.99,45.50,28/02/2024
Shantae Half-Genie Hero [Risky Beats Edition],wii-u,39.12,44.99,54.47,28/02/2024
Yoshi's Woolly World,wii-u,18.38,19.73,41.50,28/02/2024
Hyrule Warriors,wii-u,8.00,9.87,26.51,28/02/2024
Wii U Console Deluxe: Super Smash Bros &amp; Splatoon Edition,wii-u,147.50,187.75,780.64,28/02/2024
Donkey Kong Country: Tropical Freeze,wii-u,9.97,12.32,21.38,28/02/2024
Gamecube Controller Adapter,wii-u,35.89,45.92,59.88,28/02/2024
Bayonetta 2,wii-u,15.04,19.86,36.40,28/02/2024
Wii U Console Deluxe: ZombiU Edition,wii-u,205.88,243.38,350.00,28/02/2024
Pokken Tournament,wii-u,7.54,8.96,31.90,28/02/2024
Madden NFL 13,wii-u,8.02,9.90,19.49,28/02/2024
Turbo: Super Stunt Squad,wii-u,100.85,122.50,350.00,28/02/2024
Pikmin 3,wii-u,11.94,16.27,23.00,28/02/2024
Zelda Wind Waker HD [Nintendo Selects],wii-u,50.40,54.99,75.81,28/02/2024
Nintendo Land [Luigi Wii Remote Bundle],wii-u,219.12,289.29,405.00,28/02/2024
Injustice: Gods Among Us,wii-u,7.90,8.42,14.09,28/02/2024
Skylanders Imaginators [Dark Edition],wii-u,109.17,110.00,208.55,28/02/2024
Skylanders Trap Team Starter Pack [Color Alive],wii-u,235.29,285.71,400.00,28/02/2024
N2 Elite,wii-u,78.26,90.00,126.00,28/02/2024
Just Dance 2016,wii-u,6.06,6.87,11.03,28/02/2024
Wii Party U,wii-u,44.10,50.16,71.28,28/02/2024
Bayonetta 2 (Single Disc),wii-u,14.99,14.99,23.00,28/02/2024
Skylanders Imaginators (Game Only),wii-u,9.95,10.37,13.17,28/02/2024
Rapala Pro Bass Fishing,wii-u,27.09,28.35,55.40,28/02/2024
Wii Fit U (game only),wii-u,7.58,8.71,16.65,28/02/2024
Zelda Breath Of The Wild [First Print],wii-u,28.47,34.95,82.40,28/02/2024
Adventure Time: Explore the Dungeon Because I Don't Know,wii-u,13.96,13.99,38.11,28/02/2024
Mario &amp; Sonic at the Rio 2016 Olympic Games,wii-u,52.04,59.99,82.88,28/02/2024
Planes: Fire &amp; Rescue,wii-u,19.99,19.99,69.99,28/02/2024
Scribblenauts Unmasked: A DC Comics Adventure,wii-u,6.63,6.93,13.24,28/02/2024
Just Dance 2019,wii-u,15.17,25.28,38.98,28/02/2024
Giana Sisters Twisted Dreams Director's Cut,wii-u,12.77,14.68,13.80,28/02/2024
Just Dance 2017,wii-u,6.88,7.89,12.31,28/02/2024
Captain Toad: Treasure Tracker,wii-u,10.50,10.97,24.94,28/02/2024
Disney Infinity 3.0 Edition [Game Only],wii-u,5.99,7.60,15.71,28/02/2024
Wii Sports Club,wii-u,49.99,65.00,83.43,28/02/2024
Just Dance 4,wii-u,9.98,11.06,15.49,28/02/2024
Tokyo Mirage Sessions #FE [Special Edition],wii-u,51.75,82.53,116.00,28/02/2024
Game Party Champions,wii-u,8.03,8.09,12.60,28/02/2024
NES Remix Pack [Nintendo Selects],wii-u,18.00,19.81,35.67,28/02/2024
The Book of Unwritten Tales 2,wii-u,180.76,185.00,244.99,28/02/2024
Darksiders II,wii-u,15.40,17.99,43.88,28/02/2024
LEGO Marvel's Avengers,wii-u,6.36,7.44,10.49,28/02/2024
FIFA Soccer 13,wii-u,10.00,10.88,29.95,28/02/2024
How to Train Your Dragon 2,wii-u,16.11,17.99,55.47,28/02/2024
NES Remix Pack,wii-u,16.57,17.97,32.00,28/02/2024
Runbow Deluxe Edition,wii-u,16.31,20.45,22.41,28/02/2024
Pac-Man and the Ghostly Adventures 2,wii-u,10.85,14.67,35.53,28/02/2024
Pikmin 3 [Nintendo Selects],wii-u,13.44,16.49,27.11,28/02/2024
Cars 3 Driven to Win,wii-u,9.99,10.98,15.13,28/02/2024
New Super Luigi U,wii-u,18.55,21.19,63.98,28/02/2024
Minecraft,wii-u,14.90,16.62,39.57,28/02/2024
Wii U Console Deluxe: Mario Kart 8 Pre-Installed Edition,wii-u,353.78,429.59,601.42,28/02/2024
NBA 2K13,wii-u,15.50,16.37,35.00,28/02/2024
Wii U Console Deluxe: Mario Kart 8 Edition,wii-u,195.86,258.98,700.00,28/02/2024
Guitar Hero Live [2 Pack Bundle],wii-u,66.23,144.39,138.68,28/02/2024
DuckTales Remastered [Pin],wii-u,66.43,80.66,112.93,28/02/2024
ZombiU,wii-u,7.32,8.86,12.00,28/02/2024
Sonic Lost World,wii-u,18.99,23.83,51.77,28/02/2024
Monster Hunter 3 Ultimate,wii-u,14.68,15.86,26.99,28/02/2024
Darksiders: Warmastered Edition,wii-u,18.26,24.48,19.99,28/02/2024
LEGO Dimensions Starter Pack,wii-u,4.25,16.20,21.99,28/02/2024
Mario Tennis Ultra Smash,wii-u,12.00,12.99,19.10,28/02/2024
Tekken Tag Tournament 2,wii-u,25.49,35.84,88.31,28/02/2024
